ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.8742,0.0198,0.8478,0.8567,0.8709,0.8914,0.9130
ROI 59,0.8593,0.0423,0.7590,0.8346,0.8532,0.8971,0.9078
ROI 60,0.8559,0.0371,0.7573,0.8425,0.8554,0.8880,0.9013
ROI 58,0.8292,0.0424,0.7736,0.8005,0.8205,0.8622,0.9164
ROI 39,0.8204,0.0214,0.7883,0.7933,0.8250,0.8364,0.8490
ROI 57,0.8108,0.0535,0.7161,0.7775,0.8148,0.8329,0.9034
ROI 38,0.8277,0.0182,0.7944,0.8150,0.8269,0.8430,0.8568
ROI 44,0.7986,0.0228,0.7492,0.7841,0.8011,0.8109,0.8301
ROI 45,0.7920,0.0223,0.7523,0.7705,0.7954,0.8128,0.8219
ROI 61,0.8018,0.0387,0.7182,0.7755,0.7941,0.8369,0.8518
ROI 62,0.7994,0.0428,0.6949,0.7838,0.8045,0.8373,0.8568
ROI 37,0.7755,0.0810,0.6158,0.7652,0.7878,0.8256,0.8891
ROI 47,0.7762,0.0561,0.6420,0.7658,0.7957,0.8099,0.8410
ROI 143,0.7091,0.0480,0.6276,0.6746,0.7067,0.7310,0.8097
ROI 41,0.7583,0.0457,0.6769,0.7261,0.7749,0.7880,0.8213
ROI 36,0.8009,0.0509,0.7053,0.7617,0.8017,0.8283,0.8817
ROI 40,0.7607,0.0405,0.7093,0.7303,0.7501,0.7952,0.8355
ROI 48,0.7689,0.0453,0.6788,0.7383,0.7660,0.7951,0.8517
ROI 52,0.7709,0.0767,0.6538,0.7173,0.7575,0.8577,0.8765
ROI 51,0.7783,0.0718,0.6382,0.7324,0.7882,0.8154,0.8854
ROI 142,0.6900,0.0514,0.5856,0.6610,0.6922,0.7194,0.7878
ROI 172,0.7501,0.0447,0.6602,0.7175,0.7448,0.7938,0.8181
ROI 11,0.7291,0.1050,0.4400,0.7035,0.7471,0.8018,0.8493
ROI 102,0.6970,0.0694,0.5494,0.6473,0.7191,0.7444,0.8120
ROI 56,0.7106,0.0874,0.5021,0.6660,0.7139,0.7612,0.8733
ROI 191,0.6940,0.0564,0.6023,0.6657,0.7021,0.7441,0.7642
ROI 138,0.7239,0.0415,0.6577,0.6925,0.7291,0.7586,0.7910
ROI 103,0.7172,0.0535,0.6055,0.6748,0.7258,0.7560,0.7998
ROI 154,0.6920,0.0597,0.5791,0.6377,0.6931,0.7463,0.7784
ROI 55,0.7323,0.0743,0.5778,0.7105,0.7294,0.7641,0.8633
ROI 101,0.7044,0.0701,0.5872,0.6403,0.7178,0.7620,0.7974
ROI 155,0.6642,0.0539,0.5437,0.6373,0.6807,0.6957,0.7360
ROI 190,0.6620,0.0446,0.6013,0.6194,0.6664,0.7008,0.7393
ROI 198,0.6402,0.0491,0.5535,0.6066,0.6432,0.6829,0.7208
ROI 168,0.6926,0.0281,0.6433,0.6711,0.6861,0.7186,0.7445
