ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.8747,0.0176,0.8475,0.8583,0.8744,0.8863,0.9030
ROI 59,0.8853,0.0191,0.8516,0.8760,0.8871,0.8988,0.9194
ROI 60,0.8785,0.0197,0.8334,0.8653,0.8783,0.8860,0.9138
ROI 58,0.8778,0.0279,0.7997,0.8734,0.8832,0.8985,0.9117
ROI 39,0.8602,0.0242,0.8207,0.8437,0.8609,0.8824,0.8945
ROI 57,0.8830,0.0221,0.8423,0.8668,0.8853,0.8954,0.9228
ROI 38,0.8650,0.0246,0.8139,0.8539,0.8762,0.8834,0.8908
ROI 44,0.8539,0.0412,0.7618,0.8366,0.8586,0.8863,0.9101
ROI 45,0.8445,0.0429,0.7469,0.8193,0.8494,0.8732,0.9034
ROI 61,0.8310,0.0164,0.8073,0.8155,0.8341,0.8425,0.8646
ROI 62,0.8239,0.0265,0.7869,0.8057,0.8248,0.8449,0.8713
ROI 37,0.8211,0.0363,0.7425,0.8018,0.8151,0.8456,0.8946
ROI 47,0.8153,0.0302,0.7450,0.7980,0.8151,0.8333,0.8599
ROI 143,0.8056,0.0393,0.7106,0.7838,0.8053,0.8365,0.8655
ROI 41,0.7982,0.0603,0.7023,0.7162,0.8167,0.8378,0.8721
ROI 36,0.8202,0.0392,0.7466,0.8022,0.8193,0.8418,0.9071
ROI 40,0.8047,0.0551,0.6501,0.7919,0.8159,0.8419,0.8584
ROI 48,0.7996,0.0375,0.7253,0.7724,0.7985,0.8301,0.8586
ROI 52,0.7960,0.0696,0.6903,0.7296,0.7980,0.8498,0.9239
ROI 51,0.7901,0.0743,0.6946,0.7247,0.7703,0.8697,0.9262
ROI 142,0.7816,0.0370,0.6982,0.7592,0.7887,0.8058,0.8492
ROI 172,0.7968,0.0420,0.6840,0.7830,0.7987,0.8321,0.8469
ROI 11,0.7599,0.0708,0.6169,0.7060,0.7690,0.8057,0.8624
ROI 102,0.7898,0.0318,0.7139,0.7810,0.7896,0.8188,0.8230
ROI 56,0.7775,0.0486,0.6924,0.7457,0.7824,0.8111,0.8656
ROI 191,0.7361,0.0535,0.5930,0.7240,0.7359,0.7648,0.8101
ROI 138,0.7756,0.0479,0.6895,0.7370,0.7722,0.8084,0.8603
ROI 103,0.7781,0.0388,0.7018,0.7521,0.7917,0.8031,0.8310
