ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.7565,0.2184,0.0127,0.7695,0.8155,0.8372,0.8873
ROI 59,0.7316,0.2132,0.0006,0.7595,0.7861,0.8083,0.8519
ROI 60,0.7384,0.2072,0.0240,0.7629,0.7895,0.8079,0.8402
ROI 58,0.6424,0.1971,0.0032,0.6227,0.6988,0.7437,0.7874
ROI 39,0.6324,0.1968,0.0530,0.5834,0.6936,0.7540,0.8021
ROI 57,0.6137,0.1855,0.0033,0.6025,0.6552,0.7092,0.7562
ROI 38,0.5820,0.2023,0.0475,0.4923,0.5978,0.7671,0.8242
ROI 44,0.7845,0.1417,0.2996,0.7975,0.8294,0.8363,0.8495
ROI 45,0.7812,0.1354,0.3169,0.7963,0.8169,0.8340,0.8537
ROI 61,0.7068,0.2047,0.0014,0.7376,0.7531,0.7853,0.7928
ROI 62,0.7069,0.2044,0.0008,0.7427,0.7607,0.7773,0.7887
ROI 37,0.6159,0.1922,0.0000,0.6263,0.6625,0.6904,0.7873
ROI 47,0.5435,0.1723,0.0001,0.5254,0.5686,0.6450,0.6845
ROI 143,0.6685,0.1949,0.0005,0.6903,0.7110,0.7439,0.7789
ROI 41,0.6665,0.1925,0.0147,0.6736,0.7262,0.7531,0.7611
ROI 36,0.5079,0.1750,0.0000,0.4700,0.5563,0.6052,0.7027
ROI 40,0.6060,0.1684,0.0558,0.6022,0.6252,0.7153,0.7341
ROI 48,0.4984,0.1579,0.0000,0.4900,0.5349,0.5685,0.6624
ROI 52,0.6224,0.1580,0.2992,0.5026,0.6690,0.7453,0.8041
ROI 51,0.6232,0.1883,0.3027,0.4494,0.6879,0.7422,0.8432
ROI 142,0.5950,0.1792,0.0000,0.5768,0.6607,0.6787,0.7146
ROI 172,0.4344,0.2085,0.0001,0.2693,0.5016,0.6114,0.6397
ROI 11,0.6410,0.1905,0.0163,0.5986,0.6885,0.7442,0.7741
ROI 102,0.4450,0.2026,0.0000,0.4041,0.4714,0.5924,0.6614
ROI 56,0.4818,0.1869,0.0000,0.3698,0.5226,0.6436,0.6977
ROI 191,0.6365,0.1871,0.0036,0.6661,0.6905,0.7169,0.7428
ROI 138,0.4779,0.1677,0.0004,0.4180,0.4802,0.5824,0.6600
ROI 103,0.4053,0.1544,0.0000,0.2959,0.4393,0.4867,0.6326
ROI 154,0.5161,0.1690,0.0053,0.4561,0.5487,0.6272,0.6782
ROI 55,0.2417,0.1499,0.0000,0.1393,0.2303,0.3723,0.4615
ROI 101,0.4350,0.1501,0.0000,0.3724,0.4555,0.5302,0.5859
ROI 155,0.5563,0.1768,0.0000,0.5085,0.5957,0.6734,0.6966
ROI 190,0.6179,0.1868,0.0015,0.6171,0.6510,0.7163,0.7559
ROI 198,0.5014,0.1844,0.0000,0.4410,0.5387,0.6446,0.6677
ROI 168,0.2453,0.0957,0.0002,0.1923,0.2670,0.3077,0.3723
ROI 153,0.6120,0.1863,0.0003,0.5714,0.6763,0.6927,0.7436
ROI 132,0.4604,0.1539,0.0154,0.3957,0.5051,0.5564,0.5999
ROI 106,0.5004,0.1626,0.0000,0.4745,0.5058,0.5862,0.6575
ROI 139,0.4311,0.1498,0.0000,0.3862,0.4318,0.5340,0.6574
ROI 169,0.2875,0.1052,0.0001,0.2373,0.2875,0.3525,0.4427
ROI 171,0.3856,0.1292,0.0000,0.3426,0.4157,0.4687,0.5000
ROI 100,0.5274,0.1756,0.0000,0.4979,0.5536,0.6318,0.7214
ROI 202,0.4460,0.2273,0.0000,0.3003,0.4232,0.6056,0.7398
ROI 122,0.4543,0.1519,0.0000,0.4277,0.4773,0.5401,0.6363
ROI 200,0.4916,0.1887,0.0000,0.4188,0.5458,0.6146,0.7450
ROI 152,0.5560,0.1723,0.0000,0.5220,0.5965,0.6472,0.7031
ROI 167,0.3733,0.1313,0.0001,0.3234,0.3886,0.4222,0.5264
ROI 201,0.5355,0.1664,0.0000,0.5509,0.5818,0.6113,0.6752
ROI 113,0.5216,0.1601,0.0000,0.5260,0.5578,0.5976,0.6472
ROI 173,0.3862,0.1395,0.0000,0.3204,0.4267,0.4761,0.5540
ROI 133,0.5379,0.1694,0.0004,0.4959,0.5704,0.6270,0.6905
ROI 134,0.3234,0.1366,0.0056,0.2602,0.3428,0.3659,0.5540
ROI 107,0.4000,0.1468,0.0000,0.3529,0.4370,0.4949,0.5678
ROI 170,0.4280,0.1512,0.0000,0.3873,0.4495,0.5164,0.6204
ROI 123,0.3476,0.1384,0.0011,0.2700,0.3987,0.4288,0.5247
ROI 112,0.4939,0.1850,0.0000,0.4098,0.5400,0.6214,0.6861
ROI 203,0.4795,0.1873,0.0001,0.3783,0.5211,0.6106,0.7126
ROI 147,0.4625,0.1579,0.0000,0.4581,0.5086,0.5643,0.5964
ROI 192,0.4091,0.1335,0.0000,0.3740,0.4174,0.5116,0.5293
ROI 166,0.3390,0.1271,0.0008,0.2984,0.3402,0.4423,0.4782
ROI 199,0.2448,0.1737,0.0000,0.1262,0.2336,0.3162,0.6363
ROI 206,0.1752,0.1341,0.0000,0.0581,0.1622,0.3037,0.3816
ROI 135,0.3097,0.1272,0.0063,0.2374,0.3246,0.3785,0.5797
ROI 195,0.3094,0.1512,0.0000,0.2431,0.2637,0.3862,0.5664
ROI 183,0.2868,0.1106,0.0000,0.2624,0.2842,0.3436,0.5083
ROI 182,0.3234,0.1592,0.0000,0.2896,0.3545,0.4385,0.5563
ROI 193,0.4452,0.1794,0.0000,0.3685,0.4722,0.5706,0.6558
ROI 144,0.3674,0.1717,0.0000,0.3062,0.4015,0.5060,0.5619
ROI 194,0.3153,0.1367,0.0000,0.2489,0.3313,0.4239,0.4927
ROI 145,0.2672,0.1361,0.0000,0.2041,0.2571,0.3544,0.5633
ROI 119,0.3619,0.1978,0.0000,0.2472,0.4079,0.5144,0.6145
ROI 146,0.4027,0.1449,0.0134,0.4108,0.4466,0.4724,0.5820
ROI 32,0.2544,0.1484,0.0000,0.1523,0.2891,0.3787,0.4850
ROI 180,0.4085,0.1798,0.0000,0.3045,0.4752,0.5297,0.6033
ROI 175,0.4258,0.1487,0.0004,0.3815,0.4155,0.5337,0.6008
ROI 162,0.1337,0.1338,0.0000,0.0318,0.1251,0.2111,0.4721
ROI 108,0.3215,0.1390,0.0000,0.2449,0.3591,0.3932,0.5231
ROI 207,0.3413,0.1086,0.0360,0.2839,0.3704,0.4172,0.4481
ROI 178,0.2116,0.1409,0.0001,0.0601,0.2170,0.3114,0.4903
ROI 30,0.1601,0.1541,0.0000,0.0142,0.1375,0.3164,0.4483
ROI 129,0.2970,0.1361,0.0000,0.2270,0.2832,0.3492,0.5954
ROI 177,0.1226,0.1227,0.0006,0.0171,0.0784,0.1952,0.3386
ROI 185,0.4194,0.1450,0.0000,0.3576,0.4525,0.5136,0.5590
ROI 205,0.2082,0.1240,0.0000,0.1167,0.2090,0.3031,0.4247
ROI 118,0.2861,0.1725,0.0000,0.1659,0.3628,0.4103,0.5459
ROI 176,0.1940,0.1223,0.0000,0.1201,0.1740,0.2998,0.3649
ROI 181,0.4199,0.1395,0.0002,0.3964,0.4756,0.4978,0.5549
ROI 163,0.2781,0.1612,0.0000,0.1299,0.3144,0.4097,0.5037
ROI 109,0.2702,0.1366,0.0015,0.1795,0.2831,0.3674,0.4741
ROI 31,0.1205,0.1183,0.0000,0.0211,0.0904,0.2019,0.3386
ROI 186,0.1503,0.1581,0.0000,0.0112,0.1305,0.2356,0.4727
ROI 23,0.1075,0.1319,0.0000,0.0000,0.0389,0.1887,0.3877
ROI 114,0.2944,0.1086,0.0001,0.2296,0.3190,0.3711,0.4292
