ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.8570,0.0193,0.8336,0.8365,0.8549,0.8741,0.8881
ROI 59,0.8730,0.0133,0.8561,0.8631,0.8718,0.8805,0.9011
ROI 60,0.8648,0.0204,0.8231,0.8572,0.8657,0.8756,0.8959
ROI 58,0.8652,0.0245,0.8028,0.8603,0.8722,0.8818,0.8877
ROI 39,0.8497,0.0196,0.8123,0.8396,0.8556,0.8630,0.8738
ROI 57,0.8628,0.0183,0.8287,0.8517,0.8638,0.8743,0.8911
ROI 38,0.8564,0.0234,0.8185,0.8398,0.8572,0.8830,0.8878
ROI 44,0.8393,0.0280,0.7737,0.8298,0.8430,0.8560,0.8764
ROI 45,0.8332,0.0293,0.7591,0.8205,0.8386,0.8534,0.8728
ROI 61,0.8073,0.0220,0.7803,0.7862,0.8043,0.8226,0.8518
ROI 62,0.8041,0.0319,0.7537,0.7767,0.8047,0.8255,0.8519
ROI 37,0.8168,0.0236,0.7784,0.7981,0.8211,0.8298,0.8615
ROI 47,0.7936,0.0234,0.7470,0.7820,0.7991,0.8098,0.8196
ROI 143,0.7882,0.0324,0.7363,0.7634,0.7830,0.8104,0.8423
ROI 41,0.7827,0.0539,0.6831,0.7261,0.7983,0.8293,0.8460
ROI 36,0.8094,0.0376,0.7438,0.7796,0.8085,0.8411,0.8762
ROI 40,0.7948,0.0506,0.6574,0.7851,0.8128,0.8297,0.8398
ROI 48,0.7916,0.0272,0.7260,0.7788,0.7902,0.8116,0.8357
ROI 52,0.7855,0.0665,0.6696,0.7397,0.7907,0.8321,0.8871
ROI 51,0.7817,0.0659,0.7043,0.7249,0.7667,0.8480,0.8802
ROI 142,0.7672,0.0324,0.6883,0.7502,0.7703,0.7907,0.8200
ROI 172,0.7655,0.0491,0.6398,0.7493,0.7688,0.7862,0.8499
ROI 11,0.7494,0.0620,0.6168,0.7234,0.7582,0.7879,0.8252
ROI 102,0.7694,0.0320,0.6929,0.7561,0.7761,0.7895,0.8093
ROI 56,0.7449,0.0405,0.6629,0.7300,0.7444,0.7690,0.8103
ROI 191,0.7170,0.0308,0.6425,0.7021,0.7142,0.7415,0.7674
ROI 138,0.7462,0.0393,0.6822,0.7140,0.7445,0.7747,0.8170
ROI 103,0.7563,0.0431,0.6589,0.7322,0.7639,0.7890,0.8073
ROI 154,0.7450,0.0430,0.6478,0.7340,0.7654,0.7752,0.7815
ROI 55,0.7673,0.0341,0.6966,0.7456,0.7602,0.8071,0.8103
ROI 101,0.7527,0.0644,0.6310,0.6982,0.7684,0.8050,0.8454
ROI 155,0.7348,0.0478,0.6479,0.7122,0.7335,0.7754,0.8058
ROI 190,0.7210,0.0533,0.6264,0.6818,0.7172,0.7642,0.8043
