ROI name,mean DSC,std,minimum,first qurtile,median,third qurtile,max
ROI 35,0.8890,0.0173,0.8599,0.8771,0.8902,0.9025,0.9193
ROI 59,0.8832,0.0175,0.8602,0.8685,0.8865,0.8903,0.9206
ROI 60,0.8692,0.0178,0.8383,0.8637,0.8682,0.8782,0.9057
ROI 58,0.8920,0.0275,0.8114,0.8804,0.9008,0.9092,0.9227
ROI 39,0.8704,0.0220,0.8294,0.8432,0.8790,0.8863,0.8942
ROI 57,0.8782,0.0189,0.8463,0.8702,0.8795,0.8932,0.9046
ROI 38,0.8718,0.0228,0.8312,0.8659,0.8818,0.8881,0.8936
ROI 44,0.8709,0.0331,0.7889,0.8566,0.8746,0.8949,0.9171
ROI 45,0.8569,0.0403,0.7477,0.8425,0.8601,0.8879,0.9080
ROI 61,0.8392,0.0185,0.8108,0.8230,0.8412,0.8491,0.8780
ROI 62,0.8263,0.0314,0.7669,0.8113,0.8322,0.8499,0.8871
ROI 37,0.8442,0.0273,0.8029,0.8285,0.8419,0.8665,0.8942
ROI 47,0.8337,0.0263,0.7713,0.8308,0.8370,0.8501,0.8680
ROI 143,0.8190,0.0333,0.7634,0.7990,0.8194,0.8453,0.8654
ROI 41,0.8136,0.0520,0.7258,0.7553,0.8303,0.8568,0.8694
ROI 36,0.8136,0.0360,0.7584,0.7828,0.8101,0.8264,0.9041
ROI 40,0.8148,0.0521,0.6757,0.8059,0.8284,0.8468,0.8696
ROI 48,0.8230,0.0324,0.7621,0.7970,0.8259,0.8478,0.8703
ROI 52,0.8310,0.0528,0.7529,0.7842,0.8367,0.8633,0.9209
ROI 51,0.8214,0.0612,0.7382,0.7674,0.8047,0.8753,0.9298
ROI 142,0.8063,0.0314,0.7342,0.7951,0.8078,0.8255,0.8619
ROI 172,0.8058,0.0388,0.7125,0.7862,0.8084,0.8299,0.8656
ROI 11,0.8143,0.0510,0.7175,0.7964,0.8221,0.8506,0.8831
ROI 102,0.7872,0.0423,0.6749,0.7775,0.8010,0.8167,0.8262
ROI 56,0.8141,0.0295,0.7642,0.7963,0.8109,0.8178,0.8774
ROI 191,0.7639,0.0336,0.6930,0.7473,0.7672,0.7864,0.8132
ROI 138,0.7882,0.0394,0.7110,0.7604,0.7840,0.8297,0.8502
ROI 103,0.7919,0.0388,0.7125,0.7639,0.8063,0.8144,0.8338
ROI 154,0.7765,0.0519,0.6669,0.7396,0.7876,0.8138,0.8406
ROI 55,0.8005,0.0320,0.7589,0.7766,0.7946,0.8264,0.8542
ROI 101,0.7985,0.0528,0.6905,0.7846,0.8038,0.8336,0.8704
ROI 155,0.7680,0.0458,0.6932,0.7495,0.7611,0.8048,0.8367
ROI 190,0.7533,0.0453,0.6898,0.7109,0.7585,0.7967,0.8184
ROI 198,0.7504,0.0421,0.6596,0.7186,0.7559,0.7742,0.8236
ROI 168,0.7750,0.0321,0.7127,0.7651,0.7799,0.7972,0.8166
ROI 153,0.7365,0.0744,0.5903,0.6795,0.7613,0.7970,0.8212
ROI 132,0.7435,0.0377,0.6631,0.7190,0.7526,0.7680,0.7966
ROI 106,0.7638,0.0656,0.6333,0.7326,0.7778,0.8115,0.8613
ROI 139,0.7462,0.0827,0.5557,0.7138,0.7731,0.7957,0.8435
ROI 169,0.7554,0.0369,0.6984,0.7359,0.7562,0.7789,0.8304
ROI 171,0.7518,0.0300,0.6966,0.7283,0.7572,0.7777,0.7904
ROI 100,0.7703,0.1006,0.4813,0.7488,0.7904,0.8375,0.8656
ROI 202,0.7814,0.0718,0.6325,0.7486,0.7840,0.8321,0.9131
ROI 122,0.7552,0.0499,0.6376,0.7345,0.7626,0.7826,0.8333
ROI 200,0.7616,0.0604,0.6575,0.7328,0.7638,0.7863,0.8662
ROI 152,0.7428,0.0941,0.5048,0.7432,0.7758,0.7942,0.8399
ROI 167,0.7599,0.0537,0.6191,0.7443,0.7667,0.7806,0.8361
ROI 201,0.7555,0.0542,0.6268,0.7285,0.7612,0.7947,0.8359
ROI 113,0.7531,0.0630,0.6388,0.6839,0.7655,0.8051,0.8390
ROI 173,0.7667,0.0984,0.4646,0.7326,0.8085,0.8275,0.8516
ROI 133,0.7135,0.0584,0.5830,0.6733,0.7208,0.7465,0.8126
